"Rank","Root Domain","Linking Root Domains","Domain Authority"
"178","bandcamp.com","616,768","93"
"179","techcrunch.com","517,423","93"
"180","spiegel.de","370,920","93"
"181","ssl-images-amazon.com","566,008","93"
"182","google.ru","199,517","93"
"183","latimes.com","739,866","93"
"184","huawei.com","1,948,267","93"
"185","lemonde.fr","273,704","93"
"186","lexpress.fr","120,629","93"
"187","nhk.or.jp","249,469","93"
"188","metro.co.uk","275,691","93"
"189","worldbank.org","289,123","93"
"190","steampowered.com","288,376","93"
"191","m.wikipedia.org","324,021","93"
"192","walmart.com","349,595","93"
"193","20minutos.es","176,221","93"
"194","translate.google.com","297,887","93"
"195","zoom.us","650,571","93"
"196","instructables.com","355,588","93"
"197","abc.net.au","419,407","93"
"198","abc.es","207,510","93"
"199","ouest-france.fr","123,954","93"
"200","ebay.com","951,600","93"
"201","economist.com","389,373","93"
"202","alicdn.com","531,342","93"
"203","prezi.com","331,901","93"
"204","ziddu.com","190,862","93"
"205","groups.google.com","357,081","93"
"206","newsweek.com","396,661","93"
"207","timeweb.ru","601,353","93"
"208","espn.com","396,272","93"
"209","icann.org","643,292","93"
"210","doubleclick.net","597,096","93"
"211","ovh.com","524,192","93"
"212","dreamstime.com","430,709","93"
"213","ibm.com","517,112","93"
"214","skype.com","440,301","93"
"215","naver.com","513,319","93"
"216","nationalgeographic.com","641,878","93"
"217","theatlantic.com","578,744","93"
"218","buzzfeed.com","624,433","93"
"219","xbox.com","200,557","93"
"220","pinterest.fr","127,321","93"
"221","chicagotribune.com","380,312","93"
"222","amzn.to","951,087","93"
"223","books.google.com","438,883","93"
"224","apache.org","997,563","93"
"225","leparisien.fr","143,911","93"
"226","washington.edu","378,032","93"
"227","goodreads.com","908,875","93"
"228","springer.com","508,017","93"
"229","clickbank.net","491,435","93"
"230","britannica.com","512,619","93"
"231","cointernet.com.co","565,065","93"
"232","adssettings.google.com","396,260","93"
"233","vice.com","411,091","93"
"234","cornell.edu","462,919","93"
"235","hollywoodreporter.com","298,117","93"
"236","redbull.com","163,777","93"
"237","spotify.com","1,531,878","93"
"238","addthis.com","663,901","93"
"239","cbc.ca","497,353","93"
"240","cambridge.org","350,237","93"
"241","biglobe.ne.jp","241,798","93"
"242","sapo.pt","233,493","93"
"243","mit.edu","714,414","93"
"244","sciencedaily.com","370,334","93"
"245","yahoo.co.jp","667,525","93"
"246","sciencedirect.com","653,270","93"
"247","playstation.com","250,355","93"
"248","netlify.app","380,702","93"
"249","engadget.com","449,940","93"
"250","pl.wikipedia.org","150,024","93"
"251","target.com","298,055","93"
"252","canada.ca","273,527","93"
"253","insider.com","363,654","93"
"254","ea.com","208,681","93"
"255","ftc.gov","293,733","93"
"256","liveinternet.ru","343,514","93"
"257","aol.com","694,410","93"
"258","gofundme.com","355,437","93"
"259","sputniknews.com","193,330","93"
"260","nginx.com","674,978","93"
"261","nginx.org","764,593","93"
"262","ted.com","638,325","93"
"263","offset.com","1,575,359","93"
"264","privacyshield.gov","425,370","93"
"265","google.co.in","278,649","93"
"266","bp2.blogger.com","556,986","93"
"267","lavanguardia.com","154,161","93"
"268","clarin.com","147,126","93"
"269","cpanel.com","1,067,668","93"
"270","ca.gov","522,299","93"
"271","guardian.co.uk","610,852","93"
"272","ggpht.com","787,074","93"
"273","smh.com.au","316,085","93"
"274","ria.ru","198,761","93"
"275","www.over-blog.com","815,592","93"
"276","discord.com","391,527","93"
"277","windows.net","393,597","93"
"278","linktr.ee","409,149","93"
"279","francetvinfo.fr","175,243","93"
"280","sfgate.com","388,750","93"
"281","gnu.org","587,197","93"
"282","thenai.org","499,845","93"
"283","nydailynews.com","397,609","93"
"284","disney.com","253,893","93"
"285","www.wix.com","722,959","93"
